geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
SLC22A17	64.5949932482411	74.796672183136	65.5750049801263	70.4582639254362	66.6251828586307	71.97036295513	71.8716088507237	65.596533610007	68.9360778264289
EFS	66.5144831056361	75.1465561504721	68.2039108765407	70.817332364986	70.2273036804255	73.5351097240508	71.5992442114177	65.6610221645904	70.2131202847649
JPH4	64.7164897713398	74.8389004514005	65.5872356088356	70.6339303529803	66.5778804972805	71.9906385891886	72.0886083287083	65.7254021016021	69.019885712667
ADCY4	61.3606998423378	68.9681845940789	60.4220152724053	65.0087223032891	62.2797277698604	66.8887482337568	64.7846712936353	61.6598752754355	63.9215805730999
CFL2	61.1585187701188	65.1171000499501	64.7550027639028	62.2987791208791	54.0838575396826	67.7550039127539	66.7584801587302	61.3100296203796	62.9045964920496
FOXA1	55.6334703541357	19.8461182115843	60.4706868682338	59.4196685579727	45.4564062060389	39.0838731024078	45.0881501498502	25.0615590205712	43.7574915588493
DACT1	58.1412434261391	61.3787815836338	55.5938881509795	54.8868068496721	65.5707559744603	52.391226460496	38.1763690830909	51.1589009859705	54.6622465643053
HSPA2	69.8772338812703	76.6305276148094	65.9673023067841	71.2303143099325	67.7850012442103	66.6062661005661	70.5624163442618	61.5120020979021	68.7713829874671
SMOC1	49.6394317203345	70.7407991953252	64.1261766716161	67.0490201367126	55.6655838852928	57.3945860187757	59.8112190491016	61.9471221100817	60.796742348405
PAPLN	72.3966374492174	76.8349806726606	63.8455738461539	70.5079365900766	81.4313151848151	69.662258001998	69.4101842890443	64.1880691708292	71.0346194005993
ENTPD5	73.873482499666	76.0498007572046	73.6816784362134	78.8416628257093	79.3561307189626	73.0279811017008	72.6690781409673	67.521329506799	74.3776429984029
CALM1	55.6498388043995	62.1543138453779	50.1558930904047	66.0382091059426	69.0716761587927	52.9522191604512	49.1569619332124	65.7432861953581	58.8652997867424
CCDC88C	55.0555235148997	66.4263131935138	56.3267003618333	65.3293766410419	61.5102525925294	60.252342961307	55.4817318382837	65.1200058539022	60.6877808696639
SERPINA1	40.9396163217428	60.9247560136638	38.7749843272856	72.9165943050498	44.3195872295446	47.6711743972157	54.3156551409881	60.2797553743031	52.5177653887242
PAPOLA	39.7521365069274	55.7865901381447	38.0831087312687	49.617361466816	45.3727694860695	51.104281194563	42.386106049506	54.8479963834146	47.1187937445888
EVL	57.7278873855083	57.1409535559678	58.8086702294043	68.0165359321997	64.4884412613028	66.0373684540734	65.5553096967136	66.6517706374212	63.0533671440739
DEGS2	44.0337785425842	41.5861310886296	41.2080631523406	51.7258433890054	47.592430842397	51.1795414219583	53.6586541796232	57.6556896511939	48.5800165334665
SLC25A29	52.753956034415	52.911830444836	54.2797040554951	67.1806551212832	59.8872493523331	66.0430491382213	61.3134401859377	67.1937253213079	60.1954512067287
BEGAIN	49.90772920632	50.4212499925513	51.5653592994725	66.3837946255499	57.1486206482115	65.7175791988713	58.863945660918	67.2551600772035	58.4079298386373
MTA1	64.0803116015718	76.9673198218931	67.4748062994334	74.327724125096	69.5443697957586	70.6253895013521	71.5214894985735	68.7962565344201	70.4172083972623
CRIP1	33.8636332466373	72.1573356947266	34.2051323598961	52.3192066160938	35.5250332283997	51.9273625497217	46.4929492578224	51.8125167425728	47.2878962119838
C14orf80	60.3785283359017	76.4649576919801	63.3192262134443	71.5872316128172	65.3816613151058	68.3580320685777	68.3953428846031	66.65973389993	67.5680892527949
GABRB3	32.3712226458647	13.6034714831976	10.7107178810126	18.3585591825196	32.2161030809191	32.4013048449423	14.9513210636173	28.1797017663188	22.849050243549
GREM1	61.5423732095066	51.2066207681208	48.4444312884646	41.4176923015257	68.0573484281151	40.541011682145	48.7400156016822	60.0182176403843	52.4959638649931
ACTC1	55.1899279960915	59.507646212182	59.2843674974661	48.6247986714015	61.6446529011135	59.5399359501812	41.0183962949459	59.4028444030422	55.526571240803
RASGRP1	67.3991821778222	54.0784309260833	40.8073679158225	39.7025137514822	69.3601102669293	44.9326485254932	42.8713687867273	59.0338179607308	52.2731800388863
